"PatternId_decimal",description,"killchain_stage",name,objective,scenario,scenarioFriendly,severity,"show_in_ui",tactic,technique
65,DEPRECATED,Unknown,"DEPRECATED--NonMicrosoftSignedModuleLoad",,"suspicious_activity","Suspicious activity",1,False,,
66,"VNC Server's DLL was loaded into a process",Unknown,VncServerLoaded,Explore,"known_malware","Known malware",50,False,"Lateral Movement","Remote Services"
64,DEPRECATED,ResponseActions,"DEPRECATED--CredentialTheftActivityTerminated",,"activity_prevented","A malicious activity was prevented",1,False,,
70,"A command prompt was created in association with browser flash plugin activity",Exploitation,FlashThreadCreateCLI,"Follow Through","drive_by_download","Web exploit",70,True,Execution,"Exploitation for Client Execution"
68,"Process used raw read to access the NTDS.dit file, which contains credentials.","Lateral motion",NtdsFileAccessedViaRaw,"Gain Access","credential_theft","Credential theft",80,True,"Credential Access","Credential Dumping"
69,DEPRECATED,Unknown,"DEPRECATED--LoadedDllWithNoExports",,"suspicious_activity","Suspicious activity",1,False,,
71,DEPRECATED,Unknown,"DEPRECATED--LoadedDllWithDuplicateExports",,"suspicious_activity","Suspicious activity",1,False,,
72,DEPRECATED,Unknown,"DEPRECATED--LoadedDllWithOnlyMicroExport",,"suspicious_activity","Suspicious activity",1,False,,
73,DEPRECATED,Unknown,"DEPRECATED--LoadedDllWithMicroExport",,"suspicious_activity","Suspicious activity",1,False,,
77,"Falcon Host's network connection may have been probed",Unknown,"DEPRECATED--FalconHostNetworkProbe",Explore,"suspicious_activity","Suspicious activity",10,False,Discovery,"Security Software Discovery"
75,DEPRECATED,Unknown,"DEPRECATED--FalconHostRegistryKeyProbe",,"suspicious_activity","Suspicious activity",10,False,,
80,"Detected and blocked a heap spray attempt, which was likely part of an attempted exploit.",Exploitation,HeapSprayAttemptBlocked,"Falcon Detection Method","blocked_exploit","Blocked Exploit",70,True,Exploit,"Exploit Mitigation"
79,"A userspace process spawned a new process and used it to execute shellcode. Adversaries often inject malicious code into a benign process to evade detection. Review both the injector and injectee process trees.",Unknown,ProcessMigrationDetected,"Keep Access","suspicious_activity","Suspicious activity",70,False,"Defense Evasion","Process Injection"
78,"Falcon Host's service was probed",Unknown,"DEPRECATED--FalconHostServiceProbe",Explore,"suspicious_activity","Suspicious activity",10,False,Discovery,"Security Software Discovery"
76,"Falcon Host's installation directory was probed",Unknown,"DEPRECATED--FalconHostDirectoryProbe",Explore,"suspicious_activity","Suspicious activity",10,False,Discovery,"Security Software Discovery"
74,DEPRECATED,"Lateral motion","DEPRECATED--LsassCredTheft",,"credential_theft","Credential theft",1,False,,
81,"An unexpected process ran dllhost.exe. Adversaries can masquerade malware as a system process to evade detection. Review the executable.",Unknown,DllhostRunByUnexpectedProcess,"Keep Access","suspicious_activity","Suspicious activity",50,False,"Defense Evasion",Masquerading
82,"An unexpected process ran svchost.exe. Adversaries can masquerade malware as a system process to evade detection. Review the executable.",Unknown,SvchostRunByUnexpectedProcess,"Follow Through","suspicious_activity","Suspicious activity",50,True,Execution,"Command-Line Interface"
83,"An unexpected process ran taskhost.exe. Adversaries can masquerade malware as a system process to evade detection. Review the executable.",Unknown,TaskhostRunByUnexpectedProcess,"Keep Access","suspicious_activity","Suspicious activity",50,False,"Defense Evasion",Masquerading
84,"An unexpected process ran wmiprvse.exe. Adversaries can masquerade malware as a system process to evade detection. Review the executable.",Unknown,WmiprvseRunByUnexpectedProcess,"Keep Access","suspicious_activity","Suspicious activity",50,False,"Defense Evasion",Masquerading
88,"An unexpected process ran taskhostex.exe. Adversaries can masquerade malware as a system process to evade detection. Review the executable.",Unknown,TaskhostexRunByUnexpectedProcess,"Keep Access","suspicious_activity","Suspicious activity",50,False,"Defense Evasion",Masquerading
85,"An unexpected process ran csrss.exe. Adversaries can masquerade malware as a system process to evade detection. Review the executable.",Unknown,CsrssRunByUnexpectedProcess,"Keep Access","suspicious_activity","Suspicious activity",50,False,"Defense Evasion",Masquerading
87,"An unexpected process ran lsm.exe. Adversaries can masquerade malware as a system process to evade detection. Review the executable.",Unknown,LsmRunByUnexpectedProcess,"Keep Access","suspicious_activity","Suspicious activity",50,False,"Defense Evasion",Masquerading
90,"An unexpected process ran wininit.exe. Adversaries can masquerade malware as a system process to evade detection. Review the executable.",Unknown,WininitRunByUnexpectedProcess,"Keep Access","suspicious_activity","Suspicious activity",50,False,"Defense Evasion",Masquerading
86,"An unexpected process ran lsass.exe. Adversaries can masquerade malware as a system process to evade detection. Review the executable.",Unknown,LsassRunByUnexpectedProcess,"Keep Access","suspicious_activity","Suspicious activity",50,False,"Defense Evasion",Masquerading
89,"An unexpected process ran userinit.exe. Adversaries can masquerade malware as a system process to evade detection. Review the executable.",Unknown,UserinitRunByUnexpectedProcess,"Keep Access","suspicious_activity","Suspicious activity",50,False,"Defense Evasion",Masquerading
91,"An unexpected process ran winlogon.exe. Adversaries can masquerade malware as a system process to evade detection. Review the executable.",Unknown,WinlogonRunByUnexpectedProcess,"Keep Access","suspicious_activity","Suspicious activity",50,False,"Defense Evasion",Masquerading
92,"An unexpected process ran smss.exe. Adversaries can masquerade malware as a system process to evade detection. Review the executable.",Unknown,SmssRunByUnexpectedProcess,"Keep Access","suspicious_activity","Suspicious activity",50,False,"Defense Evasion",Masquerading
93,"IIS wrote and ran a new executable.",Exploitation,IISWroteAndRanNewExe,"Gain Access","server_compromise","Server exploited",80,True,"Initial Access","Exploit Public-Facing Application"
94,"IIS wrote a new executable and a sub-process ran it.",Exploitation,IISWroteAndSubprocessRanNewExe,"Gain Access","server_compromise","Server exploited",80,True,"Initial Access","Exploit Public-Facing Application"
97,"An IIS sub-process wrote a new executable and a sub-process ran it.",Exploitation,IISSubprocessWroteAndIISSubprocessRanNewExe,"Gain Access","server_compromise","Server exploited",80,True,"Initial Access","Exploit Public-Facing Application"
99,"A process using Force Data Execution Prevention (Force DEP) tried to execute non-executable memory. The process was blocked.",Exploitation,ForceDEPExecutionBlocked,"Falcon Detection Method","blocked_exploit","Blocked Exploit",70,True,Exploit,"Exploit Mitigation"
96,"SQL Server wrote a new executable and a sub-process ran it.",Exploitation,SqlServerWroteAndSubprocessRanNewExe,"Gain Access","server_compromise","Server exploited",80,True,"Initial Access","Exploit Public-Facing Application"
98,"SQL Server sub-process wrote a new executable and a sub-process ran it.",Exploitation,SqlServerSubprocessWroteAndSqlServerSubprocessRanNewExe,"Gain Access","server_compromise","Server exploited",80,True,"Initial Access","Exploit Public-Facing Application"
95,"SQL Server wrote and ran a new executable.",Exploitation,SqlServerWroteAndRanNewExe,"Gain Access","server_compromise","Server exploited",80,True,"Initial Access","Exploit Public-Facing Application"
100,DEPRECATED,Unknown,"DEPRECATED--ThreadSetContextSelf",,"suspicious_activity","Suspicious activity",1,False,,
101,"Prevented the creation of a command line process associated with Windows logon bypass.",ResponseActions,WindowsLogonBypassPrevent,"Keep Access","activity_prevented","A malicious activity was prevented",80,True,Persistence,"Accessibility Features"
102,"A browser executed a .tmp file.",Unknown,BrowserExecutesTmpFile,"Follow Through","suspicious_activity","Suspicious activity",70,True,Execution,"Exploitation for Client Execution"
103,"A productivity application or its child modified a registry key for persistence, which does not match its expected behavior.",Unknown,MaliciousAsepWriteFromProductivityApp,"Keep Access","suspicious_activity","Suspicious activity",60,False,Persistence,"Registry Run Keys / Start Folder"
104,"Falcon Host's registry data was modified via uninstallation.",Unknown,FalconHostRegistryKeyUninstall,"Keep Access","suspicious_activity","Suspicious activity",10,False,"Defense Evasion","Disabling Security Tools"
108,"A process tried to disable system recovery.",Unknown,ProcessDisabledSystemRecovery,"Keep Access","suspicious_activity","Suspicious activity",70,False,"Defense Evasion","Disabling Security Tools"
106,"Falcon Host's directory content was modified via uninstallation.",Unknown,FalconHostDirectoryUninstall,"Keep Access","suspicious_activity","Suspicious activity",10,False,"Defense Evasion","Disabling Security Tools"
110,"Blocked a command line process associated with Windows logon bypass.",ResponseActions,WindowsLogonBypass2Prevent,"Keep Access","activity_prevented","A malicious activity was prevented",80,True,Persistence,"Accessibility Features"
107,"A process tampered with Falcon Host's directory content.",Unknown,FalconHostDirectoryTampering,"Keep Access","suspicious_activity","Suspicious activity",50,False,"Defense Evasion","Disabling Security Tools"
105,"A process tampered with Falcon Host's registry data.",Unknown,"DEPRECATED--FalconHostRegistryKeyTampering",,"suspicious_activity","Suspicious activity",50,False,,
109,"A process chain bypassed Windows logon security.",Installation,WindowsLogonBypass2,"Keep Access","privilege_escalation","Privilege escalation",80,True,Persistence,"Accessibility Features"
111,"Unsigned child of a productivity app wrote a registry key used for persistence",Unknown,SpearPhishAsepWriteFromProductivityAppChild,"Keep Access","suspicious_activity","Suspicious activity",50,False,Persistence,"Registry Run Keys / Start Folder"
112,"A child process of a browser renderer wrote a registry key used for persistence",Unknown,DriveByAsepWriteFromBrowserChild,"Keep Access","suspicious_activity","Suspicious activity",50,False,Persistence,"Registry Run Keys / Start Folder"
113,"A remote process obtained a handle to lsass. Adversaries often use this to steal credentials. If credentials were dumped, change your passwords and review the process tree.","Lateral motion",RemoteOpenLsass,"Gain Access","credential_theft","Credential theft",50,False,"Credential Access","Credential Dumping"
114,"LSASS process accessed from Powershell","Lateral motion",RemoteOpenLsassPowershell,"Gain Access","credential_theft","Credential theft",70,False,"Credential Access","Credential Dumping"
117,DEPRECATED,Unknown,"DEPRECATED--AsepTargetBlockedHashVTSha256",,"blocked_hash","Blocked Hash",70,False,,
116,"A process modified a registry key for persistence, and the target points to an executable with a SHA256 hash that is blocked according to your organization's policy.",Unknown,AsepTargetBlockedHashManualSha256,"Falcon Detection Method","blocked_hash","Blocked Hash",70,False,"Custom Intelligence","Indicator of Compromise"
115,"A process containing a reflectively loaded DLL allocated executable memory. Adversaries often use this to evade detection. Review the process tree.",Unknown,ReflectiveDllAllocatedExecutableMemory,"Keep Access","suspicious_activity","Suspicious activity",40,False,"Defense Evasion","Process Injection"
118,"An executable with two file name extensions was written. Adversaries can masquerade malware with a seemingly safe file extension to evade detection. Review the executable.",Exploitation,DoubleExtensionWritten,"Keep Access","social_engineering","Social engineering",40,False,"Defense Evasion",Masquerading
119,"An executable with two file name extensions was executed. Adversaries can masquerade malware with a seemingly safe file extension to evade detection. Review the executable.",Exploitation,DoubleExtensionExecuted,"Keep Access","social_engineering","Social engineering",50,False,"Defense Evasion",Masquerading
120,"A CLI containing a reflectively loaded DLL opened a handle to lsass. Adversaries often use this to steal credentials. If credentials were dumped, change your passwords and review the process tree.","Lateral motion",CLIReflectiveDllOpenLsass,"Gain Access","credential_theft","Credential theft",80,True,"Credential Access","Credential Dumping"
121,"A process attempted to copy SAM and/or SYSTEM from a mounted snapshot volume - an indicator of password hash dumping.","Lateral motion",PwDumpViaVss,"Gain Access","credential_theft","Credential theft",30,False,"Credential Access","Credential Dumping"
122,"A screensaver process was executed from the Temp directory",Unknown,TempScrExecution,"Keep Access","known_malware","Known malware",80,False,Persistence,Screensaver
124,"A non-privileged user attempted to add the append flag to a root-owned (SUID) binary as part of a local privilege escalation attack. The attempt was blocked.",Unknown,SUIDGuard2Mac,"Gain Access","known_malware","Known malware",70,False,"Privilege Escalation","Setuid and Setgid"
123,"A user attempted to launch a binary owned by the root user with the dangerous DYLD_PRINT_TO_FILE variable set. The variable was removed.",Unknown,SUIDGuard1Mac,"Gain Access","known_malware","Known malware",70,False,"Privilege Escalation","Setuid and Setgid"
126,"A screensaver spawned an executable from a temporary directory. Adversaries can use this to run malware when a user is inactive. Review the executable and process tree.",Unknown,ExecutableSpawnedFromTempScrFile,"Keep Access","suspicious_activity","Suspicious activity",70,False,Persistence,Screensaver
127,"An executable with an incorrect file extension was written. Adversaries can masquerade malware with a seemingly safe file extension to evade detection. Review the executable.",Exploitation,MisnamedPeFileWritten,"Keep Access","social_engineering","Social engineering",10,False,"Defense Evasion",Masquerading
128,"A screensaver spawned an .exe from a temporary directory. Adversaries can use this to run malware when a user is inactive. Review the executable and process tree.",Unknown,ExeSpawnedFromAppDataTempScrFile,"Keep Access","suspicious_activity","Suspicious activity",70,True,Persistence,Screensaver
125,"The RunHTMLApplication function from mshtml.dll was executed via rundll32.exe",Unknown,Rundll32RunHTMLApplication,"Follow Through","suspicious_activity","Suspicious activity",50,False,Execution,Rundll32
129,"A RAR archive was written by a process with suspicious command line arguments.",Unknown,RarExfilFileWritten,"Follow Through","suspicious_activity","Suspicious activity",80,True,Exfiltration,"Data Compressed"
130,"CryptoWall malware was executed.",Unknown,CryptoWallExecuted,"Follow Through","known_malware","Known malware",90,True,Impact,"Data Encrypted for Impact"
131,"Blocked a process associated with Cryptowall.",ResponseActions,CryptoWallPrevented,"Follow Through","activity_prevented","A malicious activity was prevented",70,True,Impact,"Data Encrypted for Impact"
133,DEPRECATED,Exploitation,"DEPRECATED--FlashThreadInProcCreateCLI",,"drive_by_download","Web exploit",1,False,,
134,"A powershell process was started with suspicious command-line contents.",Unknown,SuspiciousPowershellCommandline,"Follow Through","suspicious_activity","Suspicious activity",50,True,Execution,PowerShell
132,"Terminated a process associated with Cryptowall.",ResponseActions,CryptoWallTerminated,"Follow Through","process_terminated","A process was terminated in response to malicious behavior",70,True,Impact,"Data Encrypted for Impact"
138,"Blocked a process associated with Locky.",ResponseActions,LockyPrevented,"Follow Through","activity_prevented","A malicious activity was prevented",70,True,Impact,"Data Encrypted for Impact"
136,DEPRECATED,Unknown,"DEPRECATED--BrowserExecutesTmpPeFile",,"suspicious_activity","Suspicious activity",1,False,,
139,"Terminated a process associated with Locky.",ResponseActions,LockyTerminated,"Follow Through","process_terminated","A process was terminated in response to malicious behavior",70,True,Impact,"Data Encrypted for Impact"
137,"Locky malware was executed.",Unknown,LockyExecuted,"Follow Through","known_malware","Known malware",90,True,Impact,"Data Encrypted for Impact"
140,DEPRECATED,Unknown,"DEPRECATED--SuspiciousMshtaCommandline",,"suspicious_activity","Suspicious activity",1,False,,
135,"A regsvr32 process was started with suspicious command line contents.",Unknown,SuspiciousRegsvr32Commandline,"Follow Through","suspicious_activity","Suspicious activity",50,True,Execution,Regsvr32
141,DEPRECATED,Unknown,"DEPRECATED--ShadowCopyDeleteViaWmic",,"suspicious_activity","Suspicious activity",1,False,,
144,"A powershell process was executed that used the FromBase64String function.",Unknown,PowershellFromBase64String,"Follow Through","suspicious_activity","Suspicious activity",50,True,Execution,PowerShell
143,"A powershell process executed compressed, encoded command line content.",Unknown,PowershellCompressedEncodedPayload,"Follow Through","suspicious_activity","Suspicious activity",70,True,Execution,PowerShell
142,"A user's password hash was dumped","Lateral motion",HashCollector,"Gain Access","credential_theft","Credential theft",70,True,"Credential Access","Credential Dumping"
148,DEPRECATED,Unknown,"DEPRECATED--NtoskrnlLoadedByUserModeProcess",,"suspicious_activity","Suspicious activity",1,False,,
147,"A command was run that is associated with Chopper web shell activity.",Unknown,ChopperWebshellCommandMac,"Keep Access","suspicious_activity","Suspicious activity",90,True,Persistence,"Web Shell"
149,DEPRECATED,Unknown,"DEPRECATED--NtoskrnlLoadedByAnyUserModeProcess",,"suspicious_activity","Suspicious activity",1,False,,
150,"Command prompt created in association with browser flash plugin activity",Exploitation,FlashThreadCreateCli2,"Follow Through","exploit_pivot","Application compromised",70,True,Execution,"Exploitation for Client Execution"
146,"A process attempted to recover a plaintext password.","Lateral motion",KcpasswordDecoded,"Gain Access","credential_theft","Credential theft",80,True,"Credential Access","Credential Dumping"
145,"An executable was run with a contradicting file extension",Unknown,FalseExecutableExtension,"Keep Access","suspicious_activity","Suspicious activity",50,True,"Defense Evasion",Masquerading
151,"Executable file created in association with browser flash plugin activity",Exploitation,FlashThreadCreatePeFile,,"exploit_pivot","Application compromised",70,False,,
152,"Script file created in association with browser flash plugin activity",Exploitation,FlashThreadCreateScript,,"exploit_pivot","Application compromised",70,False,,
153,"A browser attempted to execute a .tmp file. The process execution was blocked.",ResponseActions,BrowserExecutesTmpFileBlocked,"Follow Through","activity_prevented","A malicious activity was prevented",70,True,Execution,"Exploitation for Client Execution"
154,"A browser executed a .tmp file. The process was terminated.",ResponseActions,BrowserExecutesTmpFileTerminated,"Follow Through","process_terminated","A process was terminated in response to malicious behavior",70,True,Execution,"Exploitation for Client Execution"
158,"Blocked a binary identified as Rawpos.",Unknown,RawposPrevented,"Follow Through","known_malware","Known malware",90,True,Collection,"Data from Local System"
156,"Command prompt creation blocked in association with browser flash plugin activity",ResponseActions,FlashThreadCreateCli2Blocked,"Follow Through","activity_prevented","A malicious activity was prevented",70,True,Execution,"Exploitation for Client Execution"
157,"A process identified as Rawpos was executed",Unknown,RawposExecuted,"Follow Through","known_malware","Known malware",90,False,Collection,"Data from Local System"
161,"The recycle bin is opened by a process",Unknown,OpensRecycleBin,Explore,"suspicious_activity","Suspicious activity",50,False,Discovery,"File and Directory Discovery"
160,"Blocked the execution of a Chopper web shell command.",ResponseActions,ChopperWebshellBlocked,"Keep Access","activity_prevented","A malicious activity was prevented",70,True,Persistence,"Web Shell"
159,"Command execution indicative of Chopper webshell",Unknown,ChopperWebshellExecuted,"Keep Access","suspicious_activity","Suspicious activity",70,True,Persistence,"Web Shell"
